DateTime,counter,avg_rate,inst_rate
2012-04-01 07:00:00,559900.0,0.0,0.0
2012-04-01 08:00:00,559900.0,0.0,0.0
2012-04-01 09:00:00,559900.0,0.0,0.0
2012-04-01 10:00:00,559900.0,0.0,0.0
2012-04-01 11:00:00,559923.3333333334,25.0,0.0
2012-04-01 12:00:00,559925.0,0.0,0.0
2012-04-01 13:00:00,559925.0,0.0,0.0
2012-04-01 14:00:00,559925.0,0.0,0.0
2012-04-01 15:00:00,560024.1666666666,175.0,0.0
2012-04-01 16:00:00,560100.0,0.0,0.0
2012-04-01 17:00:00,560113.75,25.0,0.0
2012-04-01 18:00:00,560125.0,0.0,0.0
2012-04-01 19:00:00,560165.0,75.0,0.0
2012-04-01 20:00:00,560285.8333333334,100.0,0.0
2012-04-01 21:00:00,560352.0833333334,125.0,0.0
2012-04-01 22:00:00,560425.0,0.0,0.0
2012-04-01 23:00:00,560513.3333333334,325.0,0.0
2012-04-02 00:00:00,560766.6666666666,50.0,0.0
2012-04-02 01:00:00,560948.3333333334,475.0,0.0
2012-04-02 02:00:00,561492.5,425.0,204.81416666666667
2012-04-02 03:00:00,561927.5,650.0,139.535
2012-04-02 04:00:00,562587.9166666666,250.0,0.0
2012-04-02 05:00:00,562617.5,25.0,0.0
2012-04-02 06:00:00,562625.0,0.0,0.0
2012-04-02 07:00:00,562625.0,0.0,0.0
2012-04-02 08:00:00,562625.0,0.0,0.0
2012-04-02 09:00:00,562625.0,0.0,0.0
2012-04-02 10:00:00,562625.0,0.0,0.0
2012-04-02 11:00:00,562625.0,0.0,0.0
2012-04-02 12:00:00,562625.0,0.0,0.0
2012-04-02 13:00:00,562679.5833333334,75.0,0.0
2012-04-02 14:00:00,562700.0,0.0,0.0
2012-04-02 15:00:00,562717.9166666666,75.0,0.0
2012-04-02 16:00:00,562810.4166666666,75.0,0.0
2012-04-02 17:00:00,563006.6666666666,275.0,0.0
2012-04-02 18:00:00,563163.3333333334,75.0,0.0
2012-04-02 19:00:00,563200.0,0.0,0.0
2012-04-02 20:00:00,563200.0,0.0,0.0
2012-04-02 21:00:00,563200.0,0.0,0.0
2012-04-02 22:00:00,563233.75,50.0,0.0
2012-04-02 23:00:00,563251.25,50.0,0.0
2012-04-03 00:00:00,563509.1666666666,250.0,0.0
2012-04-03 01:00:00,563595.8333333334,75.0,0.0
2012-04-03 02:00:00,563861.6666666666,300.0,62.5
2012-04-03 03:00:00,563990.0,375.0,0.0
2012-04-03 04:00:00,564695.0,550.0,0.0
2012-04-03 05:00:00,564850.0,0.0,0.0
2012-04-03 06:00:00,564867.5,75.0,0.0
2012-04-03 07:00:00,564925.0,0.0,0.0
2012-04-03 08:00:00,564925.0,0.0,0.0
2012-04-03 09:00:00,564925.0,0.0,0.0
2012-04-03 10:00:00,564925.0,0.0,0.0
2012-04-03 11:00:00,564925.0,0.0,0.0
2012-04-03 12:00:00,564925.0,0.0,0.0
2012-04-03 13:00:00,564962.5,50.0,0.0
2012-04-03 14:00:00,564975.0,0.0,0.0
2012-04-03 15:00:00,564980.4166666666,50.0,0.0
2012-04-03 16:00:00,565032.0833333334,50.0,0.0
2012-04-03 17:00:00,565075.0,0.0,0.0
2012-04-03 18:00:00,565075.0,0.0,0.0
2012-04-03 19:00:00,565075.0,0.0,0.0
2012-04-03 20:00:00,565075.0,0.0,0.0
2012-04-03 21:00:00,565075.0,0.0,0.0
2012-04-03 22:00:00,565117.9166666666,75.0,0.0
2012-04-03 23:00:00,565290.8333333334,400.0,0.0
2012-04-04 00:00:00,565582.0833333334,50.0,0.0
2012-04-04 01:00:00,565747.5,500.0,62.5
2012-04-04 02:00:00,566206.25,125.0,63.82983333333333
2012-04-04 03:00:00,566714.5833333334,750.0,0.0
2012-04-04 04:00:00,566975.0,0.0,0.0
2012-04-04 05:00:00,566975.0,0.0,0.0
2012-04-04 06:00:00,567038.75,350.0,0.0
2012-04-04 07:00:00,567325.0,0.0,0.0
2012-04-04 08:00:00,567325.0,0.0,0.0
2012-04-04 09:00:00,567325.0,0.0,0.0
2012-04-04 10:00:00,567325.0,0.0,0.0
2012-04-04 11:00:00,567325.0,0.0,0.0
2012-04-04 12:00:00,567325.0,0.0,0.0
2012-04-04 13:00:00,567370.8333333334,50.0,0.0
2012-04-04 14:00:00,567375.0,0.0,0.0
2012-04-04 15:00:00,567375.0,0.0,0.0
2012-04-04 16:00:00,567387.9166666666,50.0,0.0
2012-04-04 17:00:00,567478.75,125.0,0.0
2012-04-04 18:00:00,567591.25,75.0,0.0
2012-04-04 19:00:00,567625.0,0.0,0.0
2012-04-04 20:00:00,567625.0,0.0,0.0
2012-04-04 21:00:00,567625.0,0.0,0.0
2012-04-04 22:00:00,567638.75,50.0,0.0
2012-04-04 23:00:00,567733.3333333334,175.0,0.0
2012-04-05 00:00:00,567866.25,100.0,0.0
2012-04-05 01:00:00,568007.0833333334,100.0,0.0
2012-04-05 02:00:00,568158.3333333334,275.0,127.65966666666667
2012-04-05 03:00:00,568384.5833333334,300.0,0.0
2012-04-05 04:00:00,569010.0,700.0,0.0
2012-04-05 05:00:00,569598.75,325.0,0.0
2012-04-05 06:00:00,569650.0,0.0,0.0
2012-04-05 07:00:00,569650.0,0.0,0.0
