DateTime,Rel Hum (%),Dew Point Temp (C),Stn Press (kPa),Wind Spd (km/h),Temp (C),Visibility (km),source,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE
2012-04-01 07:00:00,79.0,1.3,100.74,24.0,4.7,16.1,Electricity_S,107450.0,7312.0,3781.0,96357.0,540.0,23689.0,0.0,0.0,3195.0,9733.0,44882.0,2095.0,793.0,122.0,980.0,0.0,2617.0,0.0,3325.0,541.0,0.0,3649.0,196.0
2012-04-01 08:00:00,75.0,1.3,100.94,20.0,5.3,24.1,Electricity_S,87170.0,7246.0,3809.0,76115.0,540.0,843.0,0.0,0.0,3185.0,9636.0,50048.0,1724.0,788.0,122.0,890.0,0.0,1103.0,0.0,3071.0,559.0,0.0,3561.0,45.0
2012-04-01 09:00:00,75.0,1.9,101.07,13.0,5.9,24.1,Electricity_S,87020.0,7432.0,3814.0,75774.0,540.0,842.0,0.0,0.0,3196.0,9676.0,50848.0,2387.0,792.0,121.0,886.0,0.0,353.0,0.0,1919.0,567.0,0.0,3591.0,56.0
2012-04-01 10:00:00,68.0,1.5,101.15,7.0,7.0,32.2,Electricity_S,87288.0,7126.0,3831.0,76331.0,540.0,842.0,0.0,0.0,3208.0,9649.0,50238.0,1762.0,794.0,127.0,888.0,0.0,295.0,0.0,3849.0,560.0,0.0,3556.0,23.0
2012-04-01 11:00:00,61.0,0.7,101.28,6.0,7.8,32.2,Electricity_S,96294.0,7829.0,3814.0,84651.0,540.0,843.0,0.0,0.0,3190.0,9707.0,59411.0,1829.0,796.0,126.0,888.0,0.0,297.0,0.0,2778.0,593.0,0.0,3569.0,84.0
2012-04-01 12:00:00,61.0,1.9,101.35,4.0,9.1,32.2,Electricity_S,98635.0,7289.0,3799.0,87547.0,540.0,840.0,0.0,0.0,3203.0,9726.0,63315.0,1830.0,806.0,124.0,891.0,0.0,294.0,0.0,1694.0,574.0,0.0,3578.0,132.0
2012-04-01 13:00:00,53.0,0.3,101.41,9.0,9.5,32.2,Electricity_S,92854.0,7128.0,3812.0,81914.0,540.0,842.0,0.0,0.0,3184.0,9656.0,55750.0,1788.0,797.0,124.0,882.0,0.0,294.0,0.0,3849.0,567.0,0.0,3589.0,52.0
2012-04-01 14:00:00,46.0,-1.3,101.48,4.0,9.8,32.2,Electricity_S,91454.0,6971.0,3801.0,80682.0,540.0,3077.0,0.0,0.0,3181.0,9664.0,53381.0,1797.0,797.0,120.0,885.0,0.0,288.0,0.0,2753.0,559.0,0.0,3596.0,44.0
2012-04-01 15:00:00,49.0,0.2,101.56,7.0,10.5,32.2,Electricity_S,127992.0,25528.0,3749.0,98715.0,540.0,18895.0,0.0,0.0,3195.0,9513.0,46699.0,1764.0,801.0,122.0,896.0,0.0,24.0,0.0,1680.0,1079.0,0.0,3545.0,9962.0
2012-04-01 16:00:00,60.0,2.1,101.59,19.0,9.5,32.2,Electricity_S,84983.0,21977.0,3766.0,59240.0,540.0,2004.0,0.0,0.0,3155.0,9336.0,23377.0,1766.0,787.0,125.0,886.0,0.0,0.0,0.0,4392.0,634.0,0.0,3502.0,8736.0
